Thread ID: 131290
Total: 0.030705

 %self     total     self     wait    child    calls  name
  0.08      0.00     0.00     0.00     0.00        2  ActiveSupport::Callbacks::Callback#call
  0.07      0.00     0.00     0.00     0.00        2  ActionView::TemplateHandlers#handler_class_for_extension
  0.07      0.00     0.00     0.00     0.00        8  Kernel#instance_variable_get
  0.07      0.01     0.00     0.00     0.01        2  ActiveSupport::Memoizable::Freezable#memoize_all
  0.07      0.00     0.00     0.00     0.00        4  ActionController::RackRequest#session_options_with_string_keys
  0.07      0.00     0.00     0.00     0.00        2  <Class::ERB::Compiler::Scanner>#make_scanner
  0.07      0.00     0.00     0.00     0.00        1  <Class::Proc>#new
  0.07      0.02     0.00     0.00     0.02        1  <Class::ActionController::Dispatcher>#failsafe_response
  0.07      0.00     0.00     0.00     0.00        5  NilClass#blank?
  0.07      0.00     0.00     0.00     0.00        2  ActionView::Template#valid_extension?
  0.07      0.00     0.00     0.00     0.00        1  ActionController::AbstractRequest#content_length
  0.07      0.00     0.00     0.00     0.00        6  String#hash
  0.07      0.00     0.00     0.00     0.00        1  ActionController::AbstractResponse#convert_content_type!
  0.07      0.00     0.00     0.00     0.00        9  String#*
  0.07      0.00     0.00     0.00     0.00        5  Hash#initialize
  0.07      0.00     0.00     0.00     0.00        2  ActionView::Template#_unmemoized_method_segment
  0.07      0.00     0.00     0.00     0.00        4  String#match
  0.07      0.00     0.00     0.00     0.00        1  ActionController::RackResponse#convert_content_type!
  0.07      0.00     0.00     0.00     0.00        1  CGI::Session::CookieStore#marshal
  0.07      0.00     0.00     0.00     0.00        5  String#sub!
  0.07      0.00     0.00     0.00     0.00        1  ActionController::SessionManagement#clear_persistent_model_associations
  0.07      0.00     0.00     0.00     0.00        1  ActionController::Flash::InstanceMethods#assign_shortcuts
  0.07      0.00     0.00     0.00     0.00        7  String#concat
  0.07      0.00     0.00     0.00     0.00        2  CGI::Session#[]
  0.07      0.00     0.00     0.00     0.00        1  ActionController::AbstractResponse#assign_default_content_type_and_charset!
  0.07      0.02     0.00     0.00     0.02        1  ActionController::Dispatcher#call
  0.07      0.00     0.00     0.00     0.00        1  ActionController::Flash::FlashHash#sweep
  0.07      0.00     0.00     0.00     0.00        1  #<Class:0x1b31db0>#to_ary
  0.07      0.00     0.00     0.00     0.00        3  Kernel#dup
  0.07      0.00     0.00     0.00     0.00        1  ActionView::Base#initialize
  0.07      0.00     0.00     0.00     0.00        5  Enumerable#find
  0.07      0.00     0.00     0.00     0.00        1  ActionController::RackResponse#prepare!
